id_themeal,id_foodb,public_id_food
1,334,FOOD00329,Chicken
2,460,FOOD00450,Salmon
3,25,FOOD00025,Beef
4,647,FOOD00630,Pork
5,977,FOOD00945,Avocado
9,629,FOOD00615,Apple Cider Vinegar
10,934,FOOD00902,Asparagus
11,,,Aubergine
13,147,FOOD00147,Baby Plum Tomatoes
14,,,Bacon
15,700,FOOD00678,Baking Powder
16,645,FOOD00628,Balsamic Vinegar
17,119,FOOD00119,Basil
18,119,FOOD00119,Basil Leaves
19,235,FOOD00235,Basmati Rice
20,97,FOOD00097,Bay Leaf
21,97,FOOD00097,Bay Leaves
23,25,FOOD00025,Beef Brisket
24,25,FOOD00025,Beef Fillet
25,25,FOOD00025,Beef Gravy
26,25,FOOD00025,Beef Stock
27,743,FOOD00718,Bicarbonate Of Soda
28,,,Biryani Masala
29,909,FOOD00877,Black Pepper
30,1000,FOOD00968,Black Treacle
31,730,FOOD00706,Borlotti Beans
32,818,FOOD00793,Bowtie Pasta
33,14,FOOD00014,Bramley Apples
34,,,Brandy
35,269,FOOD00269,Bread
36,,,Breadcrumbs
37,335,FOOD00330,Broccoli
38,98,FOOD00098,Brown Lentils
39,235,FOOD00235,Brown Rice
40,676,FOOD00656,Brown Sugar
41,706,FOOD00684,Butter
43,,,Cacao
44,,,Cajun
45,,,Canned Tomatoes
46,1001,FOOD00969,Cannellini Beans
47,74,FOOD00074,Cardamom
49,72,FOOD00072,Carrots
50,11,FOOD00011,Cashew Nuts
51,11,FOOD00011,Cashews
52,676,FOOD00656,Caster Sugar
53,909,FOOD00877,Cayenne Pepper
54,214,FOOD00214,Celeriac
55,15,FOOD00015,Celery
56,15,FOOD00015,Celery Salt
57,,,Challots
58,,,Charlotte Potatoes
59,967,FOOD00935,Cheddar Cheese
60,735,FOOD00711,Cheese
61,735,FOOD00711,Cheese Curds
62,145,FOOD00145,Cherry Tomatoes
63,336,FOOD00331,Chestnut Mushroom
65,334,FOOD00329,Chicken Breast
66,334,FOOD00329,Chicken Breasts
67,334,FOOD00329,Chicken Legs
68,334,FOOD00329,Chicken Stock
70,334,FOOD00329,Chicken Thighs
71,47,FOOD00047,Chickpeas
72,700,FOOD00678,Chili Powder
73,706,FOOD00684,Chilled Butter
74,731,FOOD00707,Chilli
75,700,FOOD00678,Chilli Powder
