compound_id,public_id,name
4,FDB000004,Cyanidin 3-(6''-acetyl-galactoside)
13,FDB000013,Cyanidin 3-(6''-succinyl-glucoside)
14,FDB000014,Pelargonidin 3-(6''-succinyl-glucoside)
24,FDB000024,Petunidin 3-O-(6''-acetyl-galactoside)
25,FDB000025,Peonidin 3-(6''-acetyl-galactoside)
27,FDB000027,Malvidin 3-(6''-acetyl-galactoside)
31,FDB000031,Pelargonidin 3-arabinoside
35,FDB000035,Peonidin 3-(6''-p-coumaroyl-glucoside)
40,FDB000040,Delphinidin 3-xyloside
41,FDB000041,Petunidin 3-(6''-p-coumaroyl-glucoside)
48,FDB000048,p-Coumaroyl vitisin A
52,FDB000052,Pinotin A
55,FDB000055,Malvidin 3-(6''-caffeoyl-glucoside)
64,FDB000064,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside)
75,FDB000075,Delphinidin 3-feruloylglucoside
78,FDB000078,Luteolinidin
82,FDB000082,Butein
84,FDB000084,Phloretin-2'-O-(2''-O-xylosylglucoside)
85,FDB000085,3-Hydroxyphloretin 2'-O-xylosyl-glucoside
86,FDB000086,3-Hydroxyphloretin 2'-O-glucoside
95,FDB000095,ent-Gallocatechin 3-gallate
108,FDB000108,Procyanidin trimer EEC
115,FDB000115,Prodelphinidin trimer GC-GC-C
122,FDB000122,Prodelphinidin trimer GC-C-C
126,FDB000126,"Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside"
133,FDB000133,6-Geranylnaringenin
135,FDB000135,Luteolin 7-O-diglucuronide
136,FDB000136,Apigenin 6-C-arabinoside 8-C-glucoside
137,FDB000137,Apigenin 6-C-galactoside 8-C-arabinoside
138,FDB000138,Apigenin 7-O-glucuronide
139,FDB000139,Luteolin 7-malonylglucoside
144,FDB000144,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside
146,FDB000146,Jaceosidin
148,FDB000148,Apigenin 7-O-(6''-malonyl-apiosyl-glucoside)
150,FDB000150,Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside)
