id_ingredient,id_compound
135,121594
169,121594
471,121594
135,121595
169,121595
471,121595
135,121595
169,121595
471,121595
135,1131
169,1131
471,1131
135,753
169,753
471,753
135,13513
169,13513
471,13513
135,133930
169,133930
471,133930
135,13831
169,13831
471,13831
135,13831
169,13831
471,13831
135,14616
169,14616
471,14616
135,21596
169,21596
471,21596
135,12735
169,12735
471,12735
135,12814
169,12814
471,12814
135,565
169,565
471,565
135,565
169,565
471,565
135,12360
169,12360
471,12360
135,8417
169,8417
471,8417
135,12163
169,12163
471,12163
135,1014
169,1014
471,1014
135,1014
169,1014
471,1014
135,1014
169,1014
471,1014
135,574
169,574
471,574
135,8323
169,8323
471,8323
135,14513
169,14513
471,14513
135,14507
169,14507
471,14507
135,13267
169,13267
471,13267
135,1224
169,1224
471,1224
135,1224
169,1224
471,1224
135,121468
169,121468
471,121468
135,3524
169,3524
471,3524
135,3522
169,3522
471,3522
135,3514
169,3514
471,3514
135,13519
169,13519
471,13519
135,3521
169,3521
471,3521
135,16258
169,16258
471,16258
135,3583
169,3583
471,3583
135,3730
169,3730
471,3730
135,3636
169,3636
471,3636
135,3637
169,3637
471,3637
135,3517
169,3517
471,3517
135,13403
169,13403
471,13403
135,13447
169,13447
471,13447
135,12531
169,12531
471,12531
135,12533
169,12533
471,12533
135,1145
169,1145
471,1145
135,1193
169,1193
471,1193
135,1131
169,1131
471,1131
135,3716
169,3716
471,3716
135,1128
169,1128
471,1128
135,12068
169,12068
471,12068
135,13900
169,13900
471,13900
135,3337
169,3337
471,3337
135,12030
169,12030
471,12030
135,3011
169,3011
471,3011
135,12890
169,12890
471,12890
135,10035
169,10035
471,10035
135,11685
169,11685
471,11685
135,8052
169,8052
471,8052
135,22942
169,22942
471,22942
135,29280
169,29280
471,29280
135,121981
169,121981
471,121981
135,121594
169,121594
471,121594
135,12636
169,12636
471,12636
135,11681
169,11681
471,11681
135,21631
169,21631
471,21631
135,2953
169,2953
471,2953
135,3772
169,3772
471,3772
135,4288
169,4288
471,4288
135,1632
169,1632
471,1632
135,121595
169,121595
471,121595
135,12763
169,12763
471,12763
135,12465
169,12465
471,12465
135,2943
169,2943
471,2943
135,11875
169,11875
471,11875
135,3103
169,3103
471,3103
135,3004
169,3004
471,3004
135,121595
169,121595
