id_ingredient,id_recipe,qtde
248,52893,120g
52,52893,60g
41,52893,60g
464,52893,300g
41,52893,30g
110,52893,30g
84,52893,¼ teaspoon
181,52893,to serve
211,53049,200ml
223,53049,60ml
123,53049,2
137,53049,1600g
15,53049,3 tsp
281,53049,1/2 tsp
491,53049,25g
305,53049,45g
238,53049,3 tbs
70,53050,6
154,53050,1 1/2 
150,53050,6
53,53050,8
320,53050,2 tbs
104,53050,1 1/2 
95,53050,1 1/2 
393,53050,1 1/2 
309,53050,2 tbs
91,53050,1 can 
305,53050,1 tsp 
333,53050,1 cup 
125,52803,1-2tbsp
224,52803,Dash
24,52803,750g piece
255,52803,500g
137,52803,Dusting
122,52803,2 Beaten 
364,52807,½ cup 
149,52807,6 cloves
223,52807,1.5 tablespoon
96,52807,1 tablespoon chopped
23,52812,4-5 pound
281,52812,Dash
364,52812,3
149,52812,5 cloves
313,52812,1 Sprig
396,52812,1 sprig 
21,52812,4
49,52812,3 Large
219,52812,1 Tbsp
3,52824,8 slices
37,52824,12 florets
49,52824,1 Packet
123,52824,4
3,52826,1kg
227,52826,3
149,52826,4 cloves
104,52826,2 tsp
87,52826,1 tsp
21,52826,3
230,52826,2 tsp dried
16,52826,3 tbsp
249,52826,2 x 400g
315,52826,2 tbsp
107,52826,2 tbsp
31,52826,2 x 400g tins
224,52834,1 tbls
227,52834,1
149,52834,1 clove
41,52834,1 tbsp
218,52834,250g
24,52834,500g
248,52834,1tbsp
125,52834,1 tbsp
26,52834,100ml
237,52834,Topping
378,52842,2 tblsp 
364,52842,1 finely chopped 
55,52842,1
196,52842,1 sliced
41,52842,1 knob
328,52842,1 litre hot
37,52842,1 Head chopped
379,52842,140g
283,52848,8 large
399,52848,1 Jar
397,52848,1200g
30,52848,1 tbls
125,52848,1 tsp 
407,52855,1 large
123,52855,2 medium
15,52855,pinch
324,52855,spinkling
223,52855,1 tsp 
411,52855,25g
224,52873,2 tbs
41,52873,25g
3,52873,750g
248,52873,2 tblsp 
149,52873,2 cloves minced
227,52873,175g
55,52873,150g
49,52873,150g
196,52873,2 chopped
447,52873,200g
266,52873,150ml
26,52873,500g
20,52873,2
313,52873,3 tbs
237,52873,3 tblsp chopped
248,52873,125g
15,52873,1 tsp 
333,52873,Splash
3,52874,1kg
248,52874,2 tbs
378,52874,2 tbs
266,52874,200ml
26,52874,400ml
364,52874,1 finely sliced
49,52874,2 chopped
313,52874,3 sprigs
219,52874,2 tbs
122,52874,2 free-range
255,52874,400g
163,52874,300g
41,52874,25g
281,52874,pinch
244,52874,pinch
3,52878,900g
224,52878,3 tbs
289,52878,3
149,52878,2 cloves minced
313,52878,1 tbs chopped
20,52878,2
26,52878,400ml
354,52878,2 tbs
449,52878,8
248,52878,400g
281,52878,pinch
41,52878,250g
123,52878,To Glaze
41,52891,125g
52,52891,150g
197,52891,Grated
248,52891,150g
15,52891,½ tsp
305,52891,75g
52,52891,2 tbs
198,52891,1 tbs
115,52891,300ml 
343,52891,100ml
214,52891,Garnish with
41,52894,175g
52,52894,175g
286,52894,140g
471,52894,50g
15,52894,½ tsp
123,52894,3 Medium
324,52894,½ tsp
550,52894,¼ teaspoon
41,52894,175g
52,52894,175g
286,52894,140g
471,52894,50g
15,52894,½ tsp
123,52894,3 Medium
324,52894,½ tsp
550,52894,¼ teaspoon
466,52894,½ tsp
382,52894,200g
470,52894,1kg
347,52894,Dusting
391,52904,3 tsp
484,52904,600g
63,52904,250g
150,52904,2 sliced
316,52904,1 tbs
266,52904,750 ml 
54,52904,600g
224,52904,2 tbs
313,52904,sprigs of fresh
396,52904,sprigs of fresh
20,52904,2
47,52904,4
248,52913,375g
52,52913,50g
211,52913,75g
123,52913,3 Large
123,52913,To Glaze
41,52913,180g
227,52914,2 finely chopped
313,52914,sprigs of fresh
224,52914,2 tbs
328,52914,425g
333,52928,1/2 cup 
305,52928,1/2 cup 
211,52928,1/2 cup 
41,52928,6 tblsp
123,52928,2
281,52928,1 ½ tsp
137,52928,2-1/2 cups
223,52928,for frying
197,52928,garnish
305,52928,garnish
84,52928,garnish
1,52940,1 whole
365,52940,1 chopped
227,52940,2 chopped
150,52940,2 chopped
264,52940,1 chopped
49,52940,1 chopped
202,52940,1
313,52940,2 tsp
548,52940,1 tsp 
296,52940,2 tbs
91,52940,2 cups 
327,52940,1 tbs
3,52952,1/2 lb
281,52952,pinch
244,52952,pinch
443,52952,2 tsp
483,52952,1/2 
223,52952,5 tbs
364,52952,1/2 cup 
212,52952,1 tsp 
154,52952,1 tsp 
533,52952,1 cup 
218,52952,1 cup 
333,52952,1 cup 
231,52952,1 tbs
305,52952,1 tsp 
296,52952,1 tsp 
393,52959,2 medium
237,52959,2 tbs chopped
197,52959,Juice of 1
62,52959,175g
224,52959,1 tbs
2,52959,350g
363,52959,to serve
123,52961,4 large
137,52961,3 tbs
305,52961,250g
84,52961,1 tsp 
200,52961,Grated Zest of 2
536,52961,5 tbs
347,52961,sprinking
224,52965,1 tbs
150,52965,Minced
412,52965,1 tbs
237,52965,Garnish
281,52965,Pinch
244,52965,Pinch
548,52965,To taste
41,52979,100g 
137,52979,150g
26,52979,700ml
364,52979,30g
237,52979,1 tbs
3,52979,400g
281,52979,Pinch
244,52979,Pinch
222,52979,Pinch
137,52979,50g
123,52979,2 Beaten 
263,52995,1
149,52995,2 cloves
202,52995,1
35,52995,2
4,52995,1 lb
389,52995, 
315,52995, 
305,52995, 
327,52995, 
281,52995, 
244,52995, 
268,52997,White
364,52997,1
202,52997,1
150,52997,3
103,52997,1
49,52997,3 oz 
512,52997,1 lb
296,52997,2 oz 
387,53013,400g
224,53013,2 tbs
583,53013,2
364,53013,Chopped
586,53013,1/4 
60,53013,2 sliced
582,53013,2 large
541,53013,2 tsp
244,53013,Pinch
219,53013,2 tsp
226,53013,1 1/2 tsp 
151,53013,1 1/2 tsp 
4,53018,1 lb
137,53018,1/4 cup
149,53018,3 chopped
364,53018,1 Diced
218,53018,1 1/2 cup 
440,53018,4 cups 
266,53018,1/4 cup
20,53018,1
17,53018,1 tsp 
207,53018,1 tsp 
597,53018,1/8 teaspoon
26,53018,5 Cups
316,53018,2 tbs
342,53018,1 dash
301,53036,1  bunch
248,53036,100g 
121,53036,1
211,53036,150ml
27,53036,1 tsp 
41,53036,3 tbs
327,53036,2 tbs
62,53036,6
483,53036,6
3,53053,1lb
327,53053,5 tbs
85,53053,1
87,53053,3
497,53053,3
47,53053,3
90,53053,1 cup 
333,53053,1 cup 
309,53053,2 tbs
202,53053,6
305,53053,1 tbs
557,53060,1 Packet
387,53060,150g
364,53060,150g
223,53060,40g
281,53060,Dash
244,53060,Dash
149,53068,3 cloves
364,53068,1 sliced
3,53068,2 Lbs
316,53068,8 ounces
333,53068,1 cup 
224,53068,3 tbs
197,53068,1 Slice
296,53068,1/4 cup
29,53068,1/2 tsp
21,53068,2
281,53068,To taste
3,53069,1 lb
296,53069,5 tablespoons
197,53069,1
149,53069,3 cloves
364,53069,3 parts 
224,53069,4 tbs
333,53069,1 cup 
281,53069,1 pinch
3,53070,2kg cut cubes
26,53070,1
296,53070,1 tbs
333,53070,2 cups 
425,53070,1 sliced
264,53070,1 sliced
49,53070,1 sliced
316,53070,8 ounces
238,53070,3  tablespoons
75,53070,5
364,53070,1 chopped
149,53070,5 cloves
224,53070,3 tbs
3,53071,1.5kg
573,53071,1
316,53071,8 ounces
333,53071,3 cups 
296,53071,6 tablespoons
541,53071,1 tbs
244,53071,2 tbs
20,53071,4
197,53071,1/2 
399,53071,2 tbs
41,53071,3 tbs
224,53071,1/2 cup 
364,53071,1 chopped
149,53071,4 cloves
35,53076,2
483,53076,2
281,53076,0.5
604,53078,3
224,53078,4 tbs
368,53078,1
333,53078,6 cups 
46,53078,1 can 
113,53078,Garnish
607,53080,1/2 cup 
137,53080,2/3 Cup
281,53080,1/2 tsp
211,53080,1 cup 
41,53080,2 tbs
483,53080,1 Seperated
41,52776,175g
211,52776,2 tablespoons
123,52776,5
160,52776,175g
137,52776,125g
137,52779,250g
41,52779,125g
483,52779,1
281,52779,Pinch
60,52779,300g
211,52779,100ml milk
123,52779,3
235,52779,100g
337,52779,3tbsp
177,52779,1 tbsp
17,52779,Topping
1,52795,1.2 kg
364,52795,5 thinly sliced
149,52795,8 cloves chopped
343,52795,1 cup
100,52795,¾ cup
281,52795,To taste
41,52796,2 tablespoons
224,52796,3 tablespoons
1,52796,5 boneless
281,52796,1 teaspoon
302,52796,1 cut into 1/2-inch cubes
37,52796,1 Head chopped
244,52796,1 red
281,52796,pinch
244,52796,pinch 
237,52796,chopped
66,52830,4 - 6
330,52830,1 bottle
104,52830,1½ tablespoon
149,52830,1 teaspoon
