nutrient_id,public_id,legacy_id,name
1,FDBN00001,10930,Fat
2,FDBN00002,10946,Proteins
3,FDBN00003,16037,Carbohydrate
4,FDBN00004,23404,Fatty acids
5,FDBN00005,11134,Fiber (dietary)
6,FDBN00006,58893,13:0
7,FDBN00007,58894,14:1
8,FDBN00008,58895,15:1
9,FDBN00009,58896,16:1 c
10,FDBN00010,58897,16:1 t
11,FDBN00011,58898,16:1 undifferentiated
12,FDBN00012,58899,17:1
13,FDBN00013,58900,18:1 c
14,FDBN00014,58901,18:1 t
15,FDBN00015,58902,18:1 undifferentiated
16,FDBN00016,58903,18:2 CLAs
17,FDBN00017,58904,18:2 i
18,FDBN00018,58905,18:2 t not further defined
19,FDBN00019,58906,"18:2 t,t"
20,FDBN00020,58907,18:2 undifferentiated
21,FDBN00021,58908,18:3 undifferentiated
22,FDBN00022,58909,18:3i
23,FDBN00023,58910,18:4
24,FDBN00024,58911,20:1
25,FDBN00025,58912,"20:2 n-6 c,c"
26,FDBN00026,58913,20:3 n-3
27,FDBN00027,58914,20:3 n-6
28,FDBN00028,58915,20:3 undifferentiated
29,FDBN00029,58916,20:4 undifferentiated
30,FDBN00030,58917,21:5
31,FDBN00031,58918,22:0
32,FDBN00032,58919,22:1 c
33,FDBN00033,58920,22:1 t
34,FDBN00034,58921,22:1 undifferentiated
35,FDBN00035,58922,22:4
36,FDBN00036,58923,22:5 n-3
37,FDBN00037,58924,24:1 c
38,FDBN00038,58928,Energy
39,FDBN00039,,Ash
