id_recipe,name_recipe,category_id,region_id
52768,Apple Frangipan Tart,3,2
52893,Apple & Blackberry Crumble,3,2
53049,Apam balik,3,17
53050,Ayam Percik,2,17
52767,Bakewell tart,3,2
52792,Bread and Butter Pudding,3,2
52803,Beef Wellington,1,2
52807,Baingan Bharta,12,11
52812,Beef Brisket Pot Roast,1,1
52824,Beef Sunday Roast,1,2
52826,Braised Beef Chilli,1,18
52834,Beef stroganoff,1,22
52842,Broccoli & Stilton soup,10,2
52848,Bean & Sausage Hotpot,5,2
52855,Banana Pancakes,3,1
52873,Beef Dumpling Stew,1,2
52874,Beef and Mustard Pie,1,2
52878,Beef and Oyster pie,1,2
52891,Blackberry Fool,3,2
52894,Battenberg Cake,3,2
52904,Beef Bourguignon,1,9
52913,Brie wrapped in prosciutto & brioche,9,9
52914,Boulangère Potatoes,9,9
52928,BeaverTails,3,3
52940,Brown Stew Chicken,2,14
52952,Beef Lo Mein,1,4
52959,Baked salmon with fennel & tomatoes,8,2
52961,Budino Di Ricotta,3,13
52965,Breakfast Potatoes,13,3
52979,Bitterballen (Dutch meatballs),1,6
52995,BBQ Pork Sloppy Joes,7,1
52997,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",1,28
53013,Big Mac,1,1
53018,Bigos (Hunters Stew),7,20
53036,Boxty Breakfast,7,12
53053,Beef Rendang,1,17
53060,Burek,9,5
53068,Beef Mechado,1,8
53069,Bistek,1,8
53070,Beef Caldereta,1,8
53071,Beef Asado,1,8
53076,Bread omelette,13,11
53078,Beetroot Soup (Borscht),12,22
53080,Blini Pancakes,9,22
52776,Chocolate Gateau,3,9
52765,Chicken Enchilada Casserole,2,18
52779,Cream Cheese Tart,10,27
52788,Christmas Pudding Flapjack,3,2
52795,Chicken Handi,2,11
52796,Chicken Alfredo Primavera,2,13
52818,Chicken Fajita Mac and Cheese,2,1
52819,Cajun spiced fish tacos,8,18
52830,Crock Pot Chicken Baked Tacos,2,18
52831,Chicken Karaage,2,15
52832,Coq au vin,2,9
52839,Chilli prawn linguine,6,13
52840,Clam chowder,10,1
52841,Creamy Tomato Soup,10,2
52846,Chicken & mushroom Hotpot,2,2
52850,Chicken Couscous,2,19
52853,Chocolate Avocado Mousse,3,2
52856,Choc Chip Pecan Pie,3,1
52860,Chocolate Raspberry Brownies,3,1
52870,Chickpea Fajitas,12,18
52875,Chicken Ham and Leek Pie,2,2
52879,Chicken Parmentier,2,9
52897,Carrot Cake,3,2
52898,Chelsea Buns,3,2
52905,Chocolate Souffle,3,9
52910,Chinon Apple Tarts,3,9
52920,Chicken Marengo,2,9
52923,Canadian Butter Tarts,3,3
52934,Chicken Basquaise,2,9
52939,Callaloo Jamaican Style,5,14
52956,Chicken Congee,2,4
52966,Chocolate Caramel Crispy,3,2
52969,Chakchouka ,5,25
52976,Cashew Ghoriba Biscuits,3,25
52977,Corba,9,26
52989,Christmas Pudding Trifle,3,2
52988,Classic Christmas pudding,3,2
52990,Christmas cake,3,2
52998,Corned Beef and Cabbage,1,12
52999,Crispy Sausages and Greens,7,12
53011,Chicken Quinoa Greek Salad,2,10
53016,Chick-Fil-A Sandwich,2,1
53037,Coddled pork with cider,7,12
53055,Cevapi Sausages,1,5
53056,Croatian lamb peka,1,5
53058,Croatian Bean Stew,1,5
53063,Chivito uruguayo,1,27
53072,Crispy Eggplant,12,8
53077,Cabbage Soup (Shchi),12,22
52785,Dal fry,12,11
52899,Dundee cake,3,2
52907,Duck Confit,5,9
52791,Eton Mess,3,2
52888,Eccles Cakes,3,2
52895,English Breakfast,13,2
52944,Escovitch Fish,8,14
52955,Egg Drop Soup,12,4
53031,Egyptian Fatteh,1,7
53073,Eggplant Adobo,12,8
52802,Fish pie,8,2
52815,French Lentils With Garlic and Thyme,5,9
52835,Fettucine alfredo,6,13
52896,Full English Breakfast,13,2
52903,French Onion Soup,9,9
52906,Flamiche,12,9
52915,French Omelette,5,9
52918,Fish Stew with Rouille,8,9
52919,Fennel Dauphinoise,9,9
52957,Fruit and Cream Cheese Breakfast Pastries,13,1
52996,French Onion Chicken with Roasted Carrots & Mashed Potatoes,2,1
53025,Ful Medames,12,7
53030,Feteer Meshaltet,9,7
53043,Fish fofos,8,21
53061,Fresh sardines,9,5
53064,Fettuccine Alfredo,6,13
53079,Fish Soup (Ukha),8,22
52764,Garides Saganaki,8,10
52829,Grilled Mac and Cheese Sandwich,6,1
52951,General Tso's Chicken,2,4
53012,Gigantes Plaki,12,10
53021,Gołąbki (cabbage roll),1,20
53041,Grilled Portuguese sardines,8,21
53074,Grilled eggplant with coconut milk,12,8
52773,Honey Teriyaki Salmon,8,15
52787,Hot Chocolate Fudge,3,1
52954,Hot and Sour Soup,7,4
52967,Home-made Mandazi,13,16
52993,Honey Balsamic Chicken with Crispy Broccoli & Potatoes,2,1
